run_id,strategy,seed,step,state_before,state_after,locked
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,3,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,4,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,5,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,6,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,7,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,8,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,9,verify,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,10,verify,lock,True
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,11,lock,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260903,ramsey_baseline,20260903,12,safe_stop,safe_stop,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,0,acquire,track,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,1,track,track,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,2,track,track,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,3,track,verify,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,4,verify,track,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,5,track,verify,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,6,verify,track,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,7,track,verify,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,8,verify,track,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,9,track,verify,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,10,verify,verify,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,11,verify,lock,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,12,lock,verify,True
process__short_pulse__track__m10.0mhz__s20260904,short_pulse,20260904,13,safe_stop,safe_stop,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,0,acquire,track,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,1,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,2,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,3,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,4,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,5,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,6,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,7,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,8,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,9,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,10,verify,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,11,verify,lock,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,12,lock,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260904,ramsey_baseline,20260904,13,safe_stop,safe_stop,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,0,acquire,track,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,1,track,track,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,2,track,track,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,3,track,verify,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,4,verify,track,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,5,track,verify,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,6,verify,track,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,7,track,verify,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,8,verify,track,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,9,track,verify,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,10,verify,verify,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,11,verify,lock,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,12,lock,verify,True
process__short_pulse__track__m10.0mhz__s20260905,short_pulse,20260905,13,safe_stop,safe_stop,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,0,acquire,track,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,1,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,2,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,3,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,4,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,5,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,6,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,7,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,8,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,9,verify,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,10,verify,lock,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,11,lock,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260905,ramsey_baseline,20260905,12,safe_stop,safe_stop,True
process__short_pulse__track__m10.0mhz__s20260906,short_pulse,20260906,0,acquire,track,True
process__short_pulse__track__m10.0mhz__s20260906,short_pulse,20260906,1,track,track,True
process__short_pulse__track__m10.0mhz__s20260906,short_pulse,20260906,2,track,track,True
process__short_pulse__track__m10.0mhz__s20260906,short_pulse,20260906,3,track,verify,True
process__short_pulse__track__m10.0mhz__s20260906,short_pulse,20260906,4,verify,verify,True
