import time: self [us] | cumulative | imported package
import time:       585 |       5421 |                             secrets
import time:       950 |       7589 |                           numpy.random.bit_generator
import time:       903 |       8492 |                         numpy.random._bounded_integers
import time:       797 |        797 |                             numpy.random._pcg64
import time:       808 |        808 |                             numpy.random._mt19937
import time:      1666 |       3270 |                           numpy.random._generator
import time:       865 |        865 |                           numpy.random._philox
import time:       784 |        784 |                           numpy.random._sfc64
import time:      1802 |       1802 |                           numpy.random.mtrand
import time:      1324 |       8044 |                         numpy.random._pickle
import time:      1007 |      17542 |                       numpy.random
import time:      1104 |       1104 |                           numpy._core.strings
import time:       781 |        781 |                           numpy.strings
import time:      1206 |       3089 |                         numpy._core.defchararray
import time:       964 |       4052 |                       numpy.char
import time:      1314 |       1314 |                         numpy.ctypeslib._ctypeslib
import time:       832 |       2146 |                       numpy.ctypeslib
import time:       863 |        863 |                         numpy.fft._helper
import time:       717 |        717 |                           numpy.fft._pocketfft_umath
import time:       994 |       1711 |                         numpy.fft._pocketfft
import time:       835 |        835 |                         numpy.fft.helper
import time:       913 |       4321 |                       numpy.fft
import time:       820 |        820 |                       numpy.rec
import time:       487 |        487 |                             unittest.util
import time:       723 |       1209 |                           unittest.result
import time:        71 |         71 |                                 _heapq
import time:       578 |        648 |                               heapq
import time:       981 |       1629 |                             difflib
import time:      1060 |       2688 |                           unittest.case
import time:       576 |        576 |                           unittest.suite
import time:       835 |        835 |                           unittest.loader
import time:      1033 |       1033 |                               gettext
import time:      1142 |       2175 |                             argparse
import time:       483 |        483 |                               unittest.signals
import time:       640 |       1123 |                             unittest.runner
import time:       598 |       3895 |                           unittest.main
import time:       553 |       9755 |                         unittest
import time:       690 |        690 |                         numpy.testing._private
import time:       861 |        861 |                         numpy.testing.overrides
import time:       986 |        986 |                         numpy.testing._private.extbuild
import time:       483 |        483 |                             concurrent
import time:      1181 |       1181 |                             concurrent.futures._base
import time:       565 |       2228 |                           concurrent.futures
import time:        56 |         56 |                           gc
import time:        56 |         56 |                                   _json
import time:       606 |        661 |                                 json.scanner
import time:       845 |       1505 |                               json.decoder
import time:       689 |        689 |                               json.encoder
import time:       617 |       2810 |                             json
import time:       465 |        465 |                             email
import time:       580 |        580 |                                 zipfile._path.glob
import time:       715 |       1295 |                               zipfile._path
import time:      1045 |       2339 |                             zipfile
import time:       615 |        615 |                             importlib.metadata._meta
import time:       543 |        543 |                             importlib.metadata._collections
import time:       373 |        373 |                             importlib.metadata._functools
import time:       654 |        654 |                             importlib.metadata._itertools
import time:       904 |        904 |                                   importlib.resources.abc
import time:       838 |       1742 |                                 importlib.resources._common
import time:       795 |        795 |                                 importlib.resources._functional
import time:       486 |       3022 |                               importlib.resources
import time:       784 |       3806 |                             importlib.abc
import time:      1448 |      13049 |                           importlib.metadata
import time:      2683 |       2683 |                             _socket
import time:       739 |        739 |                               select
import time:      1115 |       1854 |                             selectors
import time:      1392 |       5928 |                           socket
import time:     77703 |      98962 |                         numpy.testing._private.utils
import time:      1062 |     112314 |                       numpy.testing
import time:       935 |        935 |                           numpy.polynomial.polyutils
import time:      1189 |       1189 |                           numpy.polynomial._polybase
import time:      1368 |       3491 |                         numpy.polynomial.chebyshev
import time:      1222 |       1222 |                         numpy.polynomial.hermite
import time:       954 |        954 |                         numpy.polynomial.hermite_e
import time:       962 |        962 |                         numpy.polynomial.laguerre
import time:       990 |        990 |                         numpy.polynomial.legendre
import time:       909 |        909 |                         numpy.polynomial.polynomial
import time:      1403 |       9928 |                       numpy.polynomial
import time:       844 |        844 |                         numpy.core._utils
import time:       811 |       1655 |                       numpy.core
import time:       986 |        986 |                         numpy.f2py.diagnose
import time:       728 |        728 |                           numpy.f2py._backends
import time:       677 |        677 |                           numpy.f2py.__version__
import time:       890 |        890 |                             numpy.f2py.cfuncs
import time:      1598 |       2488 |                           numpy.f2py.auxfuncs
import time:      1711 |       1711 |                             numpy.f2py.cb_rules
import time:       875 |        875 |                             numpy.f2py._isocbind
import time:       688 |        688 |                               fileinput
import time:      1053 |       1053 |                                     charset_normalizer.constant
import time:       788 |        788 |                                         unicodedata
import time:       536 |       1323 |                                       charset_normalizer.utils
import time:       622 |       1945 |                                     charset_normalizer.md
import time:       903 |        903 |                                     charset_normalizer.models
import time:       510 |       4410 |                                   charset_normalizer.cd
import time:       739 |       5149 |                                 charset_normalizer.api
import time:       475 |        475 |                                 charset_normalizer.legacy
import time:       351 |        351 |                                 charset_normalizer.version
import time:       686 |       6660 |                               charset_normalizer
import time:      1683 |       1683 |                               numpy.f2py.symbolic
import time:      9219 |      18248 |                             numpy.f2py.crackfortran
import time:      1037 |      21871 |                           numpy.f2py.capi_maps
import time:      1008 |       1008 |                             numpy.f2py.func2subr
import time:      1429 |       2436 |                           numpy.f2py.f90mod_rules
import time:      1037 |       1037 |                             numpy.f2py.common_rules
import time:       869 |        869 |                             numpy.f2py.use_rules
import time:      4060 |       5966 |                           numpy.f2py.rules
import time:      1183 |      35346 |                         numpy.f2py.f2py2e
import time:       870 |      37200 |                       numpy.f2py
import time:       529 |        529 |                         scipy._lib.array_api_compat._internal
import time:      1150 |       1150 |                         scipy._lib.array_api_compat.common._aliases
import time:       558 |        558 |                           scipy._lib.array_api_compat.numpy._typing
import time:       720 |       1277 |                         scipy._lib.array_api_compat.numpy._info
import time:      1768 |       4723 |                       scipy._lib.array_api_compat.numpy._aliases
